,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
5775,185535                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 4.500""            ",[SS.304],B,4,185542                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 120MM              ,[SS.304],B,SS304,SS304
5779,185536                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.500""           ",[SS.304],B,2,24101204                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 60MM                ,[SS.304],P,SS304,SS304
5781,185536                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.500""           ",[SS.304],B,4,117587                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 60MM                ,[SS.304],P,SS304,SS304
5785,185537                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 5.500""           ",[SS.304],B,2,185603                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 140MM               ,[SS.304],B,SS304,SS304
5787,185537                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 5.500""           ",[SS.304],B,4,24104786                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 140MM               ,[SS.304],P,SS304,SS304
5791,185538                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 1.250""            ",[SS.304],B,2,24105091                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 30MM               ,[SS.304],P,SS304,SS304
5793,185538                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 1.250""            ",[SS.304],B,4,107492                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 30MM               ,[SS.304],B,SS304,SS304
5797,185539                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.250""            ",[SS.304],B,2,24104720                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 80MM               ,[SS.304],B,SS304,SS304
5799,185539                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.250""            ",[SS.304],B,4,24104779                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 80MM               ,[SS.304],P,SS304,SS304
5845,185521                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.000""            ",[SS.304],B,2,24101191                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,[SS.304],P,SS304,SS304
5847,185521                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.000""            ",[SS.304],B,4,24104783                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,[SS.304],P,SS304,SS304
5851,185522                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.500""            ",[SS.304],B,2,134296                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 35MM                ,[SS.304],P,SS304,SS304
5853,185522                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.500""            ",[SS.304],B,4,185589                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 35MM                ,[SS.304],B,SS304,SS304
5857,185523                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.750""            ",[SS.304],B,2,24104683                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 70MM               ,[SS.304],P,SS304,SS304
5859,185523                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.750""            ",[SS.304],B,4,24104764                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 70MM               ,[SS.304],P,SS304,SS304
5861,185523                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.750""            ",[SS.304],B,6,182650                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 70MM               ,[SS.304],P,SS304,SS304
5863,185524                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 3.750""            ",[SS.304],B,2,185562                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 95MM               ,[SS.304],B,SS304,SS304
5869,185525                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.250""            ",[SS.304],B,2,24104501                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 80MM                ,[SS.304],P,SS304,SS304
5871,185525                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.250""            ",[SS.304],B,4,118059                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 80MM                ,[SS.304],P,SS304,SS304
5875,185526                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.500""            ",[SS.304],B,2,24104500                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 90MM                ,[SS.304],P,SS304,SS304
5877,185526                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.500""            ",[SS.304],B,4,185597                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 90MM                ,[SS.304],B,SS304,SS304
5887,185528                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.000""            ",[SS.304],B,2,185581                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 25MM               ,[SS.304],B,SS304,SS304
5889,185528                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.000""            ",[SS.304],B,4,185580                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 25MM               ,[SS.304],B,SS304,SS304
5893,185529                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.750""            ",[SS.304],B,2,200082                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 45MM               ,[SS.304],P,SS304,SS304
5895,185529                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.750""            ",[SS.304],B,4,185584                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 45MM               ,[SS.304],B,SS304,SS304
5899,185530                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 3.000""            ",[SS.304],B,2,24104521                 ,HEX.HD.CAP SCREW              ,M20-2.50 X 75MM               ,[SS.304],B,SS304,SS304
5901,185530                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 3.000""            ",[SS.304],B,4,185588                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 75MM               ,[SS.304],B,SS304,SS304
5905,185531                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 4.500""            ",[SS.304],B,2,300542                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 120MM              ,[SS.304],B,SS304,SS304
5907,185531                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 4.500""            ",[SS.304],B,4,186339                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 120MM              ,[SS.304],B,SS304,SS304
5911,185532                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 6.000""            ",[SS.304],B,2,185577                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 150MM              ,[SS.304],B,SS304,SS304
5913,185532                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 6.000""            ",[SS.304],B,4,185576                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 150MM              ,[SS.304],B,SS304,SS304
5923,185534                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.625""            ",[SS.304],B,2,107730                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 16MM               ,[SS.304],B,SS304,SS304
5925,185534                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.625""            ",[SS.304],B,4,185548                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 16MM               ,[SS.304],B,SS304,SS304
5933,185073                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 2.000""            ",[SS.304],P,2,126871                   ,CARRIAGE BOLT                 ,M12-1.75 X 50MM               ,[SS.304],P,SS304,SS304
5935,185073                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 2.000""            ",[SS.304],P,4,185512                   ,CARRIAGE BOLT                 ,M12-1.75 X 50MM               ,[SS.304],B,SS304,SS304
5937,185073                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 2.000""            ",[SS.304],P,6,183643                   ,CARRIAGE BOLT                 ,M12-1.75 X 50MM               ,[SS.304],P,SS304,SS304
5939,185074                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.625""            ",[SS.304],B,2,108718                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 16MM                ,[SS.304],B,SS304,SS304
5941,185074                   ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.625""            ",[SS.304],B,4,24104826                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 16MM                ,[SS.304],P,SS304,SS304
5957,185210                   ,HEX.NUT                       ,1/2-20UNF                     ,[SS.304],B,2,24101240                 ,HEX.NUT                       ,M12-1.25                      ,[SS.304],P,SS304,SS304
5959,185210                   ,HEX.NUT                       ,1/2-20UNF                     ,[SS.304],B,4,185651                   ,HEX.NUT                       ,M12-1.25                      ,[SS.304],B,SS304,SS304
5969,185217                   ,HEX.JAM NUT                   ,1/2-13UNC                     ,[SS.316],P,2,24104700                 ,HEX.JAM NUT                   ,M12-1.75                      ,[SS.316],P,SS316,SS316
5971,185217                   ,HEX.JAM NUT                   ,1/2-13UNC                     ,[SS.316],P,4,118476                   ,HEX.JAM NUT                   ,M12-1.75                      ,[SS.316],P,SS316,SS316
5975,185219                   ,WASHER;SPRING LOCK            ,"0.375""                        ",[SS.316],B,2,24104548                 ,WASHER;SPRING LOCK            ,M10                           ,[SS.316],P,SS316,SS316
5977,185219                   ,WASHER;SPRING LOCK            ,"0.375""                        ",[SS.316],B,4,24104849                 ,WASHER;SPRING LOCK            ,M10                           ,[SS.316],B,SS316,SS316
5979,185219                   ,WASHER;SPRING LOCK            ,"0.375""                        ",[SS.316],B,6,182734                   ,WASHER;SPRING LOCK            ,M10                           ,[SS.316],P,SS316,SS316
5993,185222                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.000""            ",[SS.316],P,2,24100791                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.316],B,SS316,SS316
5995,185222                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.000""            ",[SS.316],P,4,24104869                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.316],P,SS316,SS316
5997,185222                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.000""            ",[SS.316],P,6,182633                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.316],P,SS316,SS316
5999,185223                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.500""            ",[SS.316],P,2,24102479                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 35MM               ,[SS.316],P,SS316,SS316
6001,185223                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.500""            ",[SS.316],P,4,118415                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 35MM               ,[SS.316],P,SS316,SS316
6003,185223                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.500""            ",[SS.316],P,6,182644                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 35MM               ,[SS.316],P,SS316,SS316
6005,185224                   ,WASHER;SPRING LOCK            ,"0.250""                        ",[SS.316],B,2,24101223                 ,WASHER;SPRING LOCK            ,M6                            ,[SS.316],P,SS316,SS316
6007,185224                   ,WASHER;SPRING LOCK            ,"0.250""                        ",[SS.316],B,4,24104847                 ,WASHER;SPRING LOCK            ,M6                            ,[SS.316],B,SS316,SS316
6009,185224                   ,WASHER;SPRING LOCK            ,"0.250""                        ",[SS.316],B,6,182739                   ,WASHER;SPRING LOCK            ,M6                            ,[SS.316],P,SS316,SS316
6011,185225                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.500""            ",[SS.316],B,2,24104352                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 12MM                ,[SS.316],P,SS316,SS316
6013,185225                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.500""            ",[SS.316],B,4,185797                   ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 12MM                ,[SS.316],B,SS316,SS316
6017,185226                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 0.750""            ",[SS.316],B,2,24101463                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 20MM                ,[SS.316],B,SS316,SS316
6019,185226                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 0.750""            ",[SS.316],B,4,24104791                 ,HEX.SOC.CAP SCREW             ,M6-1.00 X 20MM                ,[SS.316],P,SS316,SS316
6021,185226                   ,HEX.SOC.CAP SCREW             ,"1/4-20UNC X 0.750""            ",[SS.316],B,6,182704                   ,HEX.SOC.CAP SCREW             ,M6-1.00 X 20MM                ,[SS.316],P,SS316,SS316
6023,185232                   ,WASHER;SPRING LOCK            ,"0.500""                        ",[SS.316],B,2,24103107                 ,WASHER;SPRING LOCK            ,M12                           ,[SS.316],P,SS316,SS316
6025,185232                   ,WASHER;SPRING LOCK            ,"0.500""                        ",[SS.316],B,4,24104846                 ,WASHER;SPRING LOCK            ,M12                           ,[SS.316],B,SS316,SS316
6027,185232                   ,WASHER;SPRING LOCK            ,"0.500""                        ",[SS.316],B,6,182735                   ,WASHER;SPRING LOCK            ,M12                           ,[SS.316],P,SS316,SS316
6029,185246                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 2.250""             ",[SS.304],B,2,185891                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 60MM                ,[SS.304],B,SS304,SS304
6053,185495                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 0.750""            ",[SS.304],B,2,185514                   ,CARRIAGE BOLT                 ,M6-1.00 X 20MM                ,[SS.304],B,SS304,SS304
6055,185495                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 0.750""            ",[SS.304],B,4,185513                   ,CARRIAGE BOLT                 ,M6-1.00 X 20MM                ,[SS.304],B,SS304,SS304
6059,185496                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 1.500""            ",[SS.304],B,2,185517                   ,CARRIAGE BOLT                 ,M6-1.00 X 35MM                ,[SS.304],B,SS304,SS304
6061,185496                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 1.500""            ",[SS.304],B,4,185516                   ,CARRIAGE BOLT                 ,M6-1.00 X 35MM                ,[SS.304],B,SS304,SS304
6065,185497                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.750""            ",[SS.304],B,2,185505                   ,CARRIAGE BOLT                 ,M10-1.50 X 45MM               ,[SS.304],B,SS304,SS304
6067,185497                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.750""            ",[SS.304],B,4,185504                   ,CARRIAGE BOLT                 ,M10-1.50 X 45MM               ,[SS.304],B,SS304,SS304
6071,185498                   ,CARRIAGE BOLT                 ,"5/16-18UNC X 1.500""           ",[SS.304],B,2,185520                   ,CARRIAGE BOLT                 ,M8-1.25 X 35MM                ,[SS.304],B,SS304,SS304
6073,185498                   ,CARRIAGE BOLT                 ,"5/16-18UNC X 1.500""           ",[SS.304],B,4,185519                   ,CARRIAGE BOLT                 ,M8-1.25 X 35MM                ,[SS.304],B,SS304,SS304
6481,24100168                 ,WASHER;SPRING LOCK            ,#8                            ,ZINC PLATED,P,2,24101221                 ,WASHER;SPRING LOCK            ,M4                            ,ZINC PLATED,P,ZINC,ZINC
6483,24100168                 ,WASHER;SPRING LOCK            ,#8                            ,ZINC PLATED,P,4,24104845                 ,WASHER;SPRING LOCK            ,M4                            ,ZINC PLATED,B,ZINC,ZINC
6485,24100168                 ,WASHER;SPRING LOCK            ,#8                            ,ZINC PLATED,P,6,182737                   ,WASHER;SPRING LOCK            ,M4                            ,ZINC PLATED,P,ZINC,ZINC
6498,24101086                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 1.000""            ",ZINC PLATED,B,2,185818                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 25MM                ,ZINC PLATED,B,ZINC,ZINC
6500,24101086                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 1.000""            ",ZINC PLATED,B,4,185817                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 25MM                ,ZINC PLATED,B,ZINC,ZINC
6540,24101114                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#10-24UNC X 0.750""            ",ZINC PLATED,B,2,185814                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M5-0.80 X 20MM                ,ZINC PLATED,B,ZINC,ZINC
6542,24101114                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#10-24UNC X 0.750""            ",ZINC PLATED,B,4,185813                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M5-0.80 X 20MM                ,ZINC PLATED,B,ZINC,ZINC
6560,24101574                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#6-32UNC X 0.250""             ",ZINC PLATED,P,2,185811                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M4-0.70 X 6MM                 ,ZINC PLATED,B,ZINC,ZINC
6562,24101574                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#6-32UNC X 0.250""             ",ZINC PLATED,P,4,185810                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M4-0.70 X 6MM                 ,ZINC PLATED,B,ZINC,ZINC
6580,24101577                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#6-32UNC X 0.500""             ",ZINC PLATED,P,4,185808                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M4-0.70 X 12MM                ,ZINC PLATED,B,ZINC,ZINC
